vote,user,date,commentText,likes
0,Deathstalker,2 weeks ago,"To the clown Nye the Fake Scientist. Britain had grown grapes since Romans and never stopped. As for the French, until recently grape farming was restricted by their own government to just a few region. Since deregulation, they can grow grape anywhere. Parasites attacked farms long before industrial activity. Laki volcano in 1784, followed my many other massive volcanoes made the winters extra cold, killing crops, farm animals, and people. What normal climate is he talking about?",0
0,88blockNS,2 weeks ago,"Tucker wanted simple numbers, Bill Nye could not provide them. He just kept dancing around Tucker's question, which is simply asking at what rate human interference has influenced climate change. He is not denying it, he wants simple numbers, and Bill Nye looked foolish coming on the show without these answers.",2
1,Maverick Kajita,2 weeks ago,Laughing at your guest at the end is a very childish thing to do.,1
1,Maverick Kajita,2 weeks ago,Go bill. Throwing some science into Fox News.  What is so hard to understand?,1
1,Andrew Shott,2 weeks ago,What a waste of Bill's time.  Tucker is an idiot for this one.  Let's ask a question but not let the person answer it.,0
1,nonplayerzealot4,2 weeks ago,Those sirens start when Tucker starts talking.,1
1,loadi2,2 weeks ago,Tucker is so stupid 😂 just look at his face😮,1
1,Marvin King,2 weeks ago,How is this tucker moron still on the air. Please buy a mouth piece for your pistol and test it out!,0
1,cheddar shred,2 weeks ago,Tucker you made a complete DUMBASS of yourself.,0
0,Nolan Saulnier,2 weeks ago,"Why’s everyone bashing him everyone’s lost a debate or handled one poorly Ben Shapiro, Steven Crowder, etc. At lease he had the balls to not disable comments or take it down.",0
0,Jihart Bladhest,2 weeks ago,Lmao bill nye the climate guy,0
1,Juan Rivas,2 weeks ago,Why is Tucker so ignorant?,0
0,California Dreaming,2 weeks ago,Bill Nye is the most arrogant person on Earth.,0
0,Marion Williamson III,2 weeks ago,If we never support race mixing and gays Right that against god the wether will be okay but thank you liberals To making god Maaaaaaaad,0
